execucao_global,run,crypto_mode,status,delivered,source,destination,path,hops,protocol,crypto_backend,crypto_algorithm,original_payload_size_bytes,protected_payload_size_bytes,payload_size_bytes,crypto_overhead_bytes,crypto_time_seconds,crypto_energy_cost,duration_seconds,total_energy_consumed,link_latency_ms,link_packet_loss_percent,link_packets_transmitted,link_packets_received,link_rtt_min_ms,link_rtt_avg_ms,link_rtt_max_ms,link_rtt_mdev_ms,erro
1,1,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002543,0.083733,0.004249,0.623733,13.021,0.0,3,3,9.494,13.021,20.009,4.94,
2,2,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.00301,0.0842,0.004126,0.6242,12.833,0.0,3,3,9.257,12.833,19.87,4.975,
3,3,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002712,0.083902,0.003982,0.623902,12.947,0.0,3,3,9.401,12.947,19.989,4.979,
4,4,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.003065,0.084255,0.004252,0.624255,12.845,0.0,3,3,9.528,12.845,19.277,4.548,
5,5,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.00295,0.08414,0.004195,0.62414,12.871,0.0,3,3,9.424,12.871,19.728,4.848,
6,6,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002963,0.084153,0.003866,0.624153,12.941,0.0,3,3,9.496,12.941,19.794,4.845,
7,7,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002652,0.083842,0.003883,0.623842,12.978,0.0,3,3,9.484,12.978,19.964,4.939,
8,8,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002726,0.083916,0.003913,0.623916,13.064,0.0,3,3,9.429,13.064,20.209,5.052,
9,9,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.003081,0.084271,0.004517,0.624271,12.915,0.0,3,3,9.239,12.915,20.031,5.032,
10,10,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.003041,0.084231,0.004426,0.624231,13.023,0.0,3,3,9.481,13.023,19.888,4.854,
