execucao_global,cenario_id,run,crypto_mode,network_bw_mbps,network_delay_ms,network_loss_percent,payload_extra_bytes,payload_sensor,payload_valor,status,delivered,source,destination,path,hops,protocol,crypto_backend,crypto_algorithm,original_payload_size_bytes,protected_payload_size_bytes,payload_size_bytes,crypto_overhead_bytes,crypto_time_seconds,crypto_energy_cost,duration_seconds,total_energy_consumed,link_latency_ms,link_packet_loss_percent,link_packets_transmitted,link_packets_received,link_rtt_min_ms,link_rtt_avg_ms,link_rtt_max_ms,link_rtt_mdev_ms,erro
1,1,1,pqc,1,8,0.2,551,umidade,21.163,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,688,6032,6032,5328,0.002522,0.089482,0.003949,0.629482,16.953,0.0,3,3,12.474,16.953,25.903,6.328,
2,2,2,pqc,1,47,0,1354,pressao,22.927,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,1491,6835,6835,5328,0.002967,0.097957,0.004325,0.637957,69.044,0.0,3,3,51.505,69.044,104.106,24.792,
3,3,3,pqc,20,57,0.2,117,co2,39.642,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,250,5594,5594,5328,0.002802,0.085382,0.004138,0.625382,82.326,0.0,3,3,61.51,82.326,123.921,29.411,
4,4,4,pqc,10,61,0,1891,temperatura,35.769,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,2032,7376,7376,5328,0.002574,0.102974,0.003854,0.642974,87.558,0.0,3,3,65.272,87.558,131.941,31.383,
5,5,5,pqc,20,10,0,435,vibracao,70.936,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,573,5917,5917,5328,0.002698,0.088508,0.003807,0.628508,19.562,0.0,3,3,14.304,19.562,29.963,7.354,
6,6,6,pqc,2,43,0.5,1285,co2,26.068,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,1418,6762,6762,5328,0.002991,0.097251,0.004095,0.637251,63.694,0.0,3,3,47.432,63.694,96.067,22.891,
7,7,7,pqc,5,14,0.5,1492,co2,41.648,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,1625,6969,6969,5328,0.004699,0.101029,0.006633,0.641029,25.279,0.0,3,3,18.777,25.279,38.203,9.138,
8,8,8,pqc,1,19,0.5,962,umidade,82.36,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,1098,6442,6442,5328,0.003049,0.094109,0.004369,0.634109,31.756,0.0,3,3,23.473,31.756,48.277,11.682,
9,9,9,pqc,5,6,0,1430,umidade,40.354,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,1567,6911,6911,5328,0.003227,0.098977,0.004538,0.638977,13.938,0.0,3,3,10.459,13.938,20.814,4.861,
10,10,10,pqc,2,11,0,353,temperatura,62.262,delivered,True,iot_1,server_1,iot_1 para iot_6 para iot_5 para gateway_1 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,494,5838,5838,5328,0.003144,0.088164,0.004505,0.628164,20.988,0.0,3,3,15.454,20.988,31.932,7.738,
